nærfellt	nærfelldur
næst	næstur
næstu	næstur
næstum	næstur
níska	nískur
níutugasti	níu-tugur
nýlega	nýlegur
nýtast	nýtur
opinberlega	opinberlegur
opinskátt	opinskár
opna	opinn
penni	penn
persneska	persneskur
pólska	pólskur
raka	rakur
rakari	rakur
raki	rakur
rakki	rakkur
ramma	rammur
rammi	rammur
rangeygð	rangeygður
ranglega	ranglegur
raunverulega	raunverulegur
reið	reiður
reiða	reiður
reiði	reiður
rist	ristur
rista	ristur
rofna	rofinn
rotna	rotinn
runni	runninn
rækilega	rækilegur
ræða	ræður
ræðari	ræður
rétt	réttur
rétta	réttur
réttvísi	réttvís
rífa	rífur
ríki	ríkur
ríkulega	ríkulegur
ró	rór
róa	rór
rós	rór
rúm	rúmur
rúma	rúmur
salt	saltur
salta	saltur
samanlagt	samanlagður
sameiginlega	sameiginlegur
sameina	sameinn
samheldni	samheldinn
samhverfa	samhverfur
samkvæmt	samkvæmur
samleitni	samleitinn
samráð	samráður
samræma	samræmur
samræmi	samræmur
samsekt	samsekur
samþykki	samþykkur
sanna	sannur
sannarlega	sannarlegur
sannlega	sannlegur
sannsögli	sannsögull
seint	seinn
sekt	sekur
senda	sendur
sendir	sendur
sjálfstæði	sjálfstæður
sjóveiki	sjóveikur
sjöfalda	sjöfaldur
skamma	skammur
skeifa	skeifur
skilríki	skilríkur
skipta	skiptur
skipti	skiptur
skipulega	skipulegur
skjóta	skjótur
skorpna	skorpinn
skreppa	skreppur
skriðþungi	skriðþungur
skyggni	skyggn
skylda	skyldur
skæri	skær
skíra	skír
skírlífi	skírlífur
skömm	skammur
skýla	skýll
skýli	skýll
skýra	skýr
slaka	slakur
slaki	slakur
slappa	slappur
sleppa	sleppur
slysni	slysinn
slægð	slægður
slétta	sléttur
snara	snar
snerta	snertur
snilldarlega	snilldarlegur
snyrta	snyrtur
sofna	sofinn
spara	spar
spænska	spænskur
stama	stamur
staða	staður
staðfesta	staðfestur
staðreynd	staðreyndur
sterklega	sterklegur
stolt	stoltur
storkna	storkinn
stríð	stríður
stríða	stríður
stytta	styttur
stífna	stífinn
stífni	stífinn
stórilla	stórillur
stökk	stökkur
stöð	staður
stöðugt	stöðugur
svala	svalur
svalir	svalur
svelta	sveltur
sverta	svertur
svipta	sviptur
synd	syndur
synda	syndur
syndari	syndur
sátt	sáttur
sæla	sæll
særa	sær
sæta	sætur
sæti	sætur
sætta	sættur
sérstaklega	sérstaklegur
síða	síður
síðan	síður
síðar	síður
síðari	síður
síðri	síður
sýkna	sýkinn
sýn	sýnn
sýna	sýnn
sýnd	sýndur
sýni	sýnn
sýnilega	sýnilegur
tilgerð	tilgerður
tortryggni	tortrygginn
traust	traustur
trú	trúr
trúa	trúr
trúrækni	trúrækinn
tvöfalda	tvöfaldur
tvöfalt	tvöfaldur
tæki	tækur
tæpa	tæpur
tæplega	tæplegur
tæra	tær
tímanlega	tímanlegur
tíska	tískur
tíð	tíður
umburðarlyndi	umburðarlyndur
undanfarið	undanfarinn
undarlega	undarlegur
undirgefni	undirgefinn
uppgerð	uppgerður
vakta	vakinn
valda	valinn
vana	vanur
vandlega	vandlegur
vanhelga	vanhelgur
vanhæfi	vanhæfur
vani	vanur
vanrækt	vanræktur
vansæmd	vansæmdur
vara	var
varanlega	varanlegur
varfærni	varfærinn
varmi	varmur
varða	varinn
vegna	veginn
venjulega	venjulegur
verkfæri	verkfær
verri	illur
verð	verður
verða	verður
villast	villur
vinda	vindur
vinsamlega	vinsamlegur
virki	virkur
virkilega	virkilegur
virkt	virkur
virða	virður
virðast	virður
virði	virður
visna	visinn
vissa	viss
vændi	vændur
vænta	væntur
víg	vígur
vígi	vígur
vísa	vís
vísir	vís
víðir	víður
vör	var
ysta	ytri
ágæti	ágætur
ákafi	ákafur
ákaflega	ákaflegur
ákaft	ákafur
árangurslaust	árangurslaus
árlega	árlegur
ástúðlega	ástúðlegur
ásýnd	ásýndur
áttfalda	áttfaldur
áttugasti	át-tugur
æfa	æfur
æta	ætur
ætt	ætur
æðstur	æðri
ímyndunarveiki	ímyndunarveikur
ítarlega	ítarlegur
óaflátanlega	óaflátanlegur
ógilda	ógildur
ógæfa	ógæfur
óhindrað	óhindraður
óhlýðnast	óhlýðinn
óhlýðni	óhlýðinn
óháð	óháður
ójafna	ójafn
ólæsi	ólæs
ómögulega	ómögulegur
ónýta	ónýtur
óreglulega	óreglulegur
óreiða	óreiður
óráð	óráður
órækt	órækur
óró	órór
ósvífni	ósvífinn
óvart	óvar
óvissa	óviss
óákveðni	óákveðinn
óþekktast	óþekktur
úrþvætti	úrþvættur
úthverfi	úthverfur
ýtrastur	ýtrari
þagmælska	þagmælskur
þorna	þorinn
þrefalda	þrefaldur
þrjóska	þrjóskur
þrá	þrár
þrái	þrár
þrýsta	þrýstur
þurrlendi	þurrlendur
þvera	þver
þvert	þver
þykkna	þykkinn
þykkt	þykkur
þyngd	þyngdur
þyrsta	þyrstur
þétt	þéttur
þétta	þéttur
þörf	þarfur
þýlyndi	þýlyndur
þýða	þýður
