airport	flughöfn	Noun
airspeed	flughraði	Noun
airstrike	loftárás	Noun
alabaster	alabastur	Noun
alarm clock	vekjaraklukka	Noun
alb	alba	Noun
albatross	súlukóngur	Noun
albino	albínói	Noun
alchemist	gullgerðarmaður	Noun
alcohol	alkóhól	Noun
alcohol	áfengi	Noun
alcohol sale	áfengissala	Noun
alcoholic	alkóhólisti	Noun
alcoholic drink	drykkur	Noun
alcoholic drinks	spritt	Noun
alder	elri	Noun
alder	ölur	Noun
alertness	snarræði	Noun
alga	þörungur	Noun
algorithm	algóriþmi	Noun
algorithm	reiknirit	Noun
alien	geimvera	Noun
alienation	firring	Noun
all right	allt í lagi	Adverb
allative case	tilgangsfall	Noun
allele	samsæta	Noun
allergy	ofnæmi	Noun
alleviate	aflétta	Verb
allosexual	aðkynhneigður	Adjective
allosexuality	aðkynhneigð	Noun
allow to droop	lygna	Verb
alloy	málmblanda	Noun
allspice	allrahanda	Noun
allusion	vísun	Noun
ally	samherji	Noun
almost	nærri	Adverb
almost	næstum	Adverb
almost	næstum því	Adverb
alms	ölmusa	Noun
alone	aleinn	Adjective
alone	ein	Adverb
alone	einn	Adjective
alone	eitt	Adverb
alpha	alfa	Noun
alphabet	stafróf	Noun
alpine bartsia	smjörgras	Noun
alpine bistort	kornsúra	Noun
alpine bittercress	jöklaklukka	Noun
alpine cinquefoil	gullmura	Noun
alpine clubmoss	litunarjafni	Noun
alpine fleabane	jakobsfífill	Noun
alpine hawkweed	fellafífill	Noun
alpine lady's-mantle	ljónslappi	Noun
alpine lady-fern	þúsundblaðarós	Noun
alpine meadow grass	fjallasveifgras	Noun
alpine mouse-ear	músareyra	Noun
alpine pearlwort	langkrækill	Noun
alpine pondweed	fjallnykra	Noun
alpine rockcress	skriðnablóm	Noun
alpine skiing	brun	Noun
altar	altari	Noun
altarpiece	altaristafla	Noun
alter ego	hliðarsjálf	Noun
alternative rock	jaðarrokk	Noun
altimeter	hæðarmælir	Noun
altitude	hæð	Noun
altocumulus	netjuský	Noun
altostratus	gráblika	Noun
aluminium	ál	Noun
aluminium plant	álver	Noun
always	alltaf	Adverb
always	sí	Adverb
always	ávallt	Adverb
always	ætíð	Adverb
am not	esa	Adverb
amalgam	amalgam	Noun
amateur actor	áhugaleikari	Noun
ambassador	sendiherra	Noun
amber	raf	Noun
ambiguity	tvíræðni	Noun
ambiguous	tvíbentur	Adjective
ambiguous	tvíræður	Adjective
ambiguous	óskýr	Adjective
ambition	metnaður	Noun
ambitious	metnaðarfullur	Adjective
ambivalent	tvíbentur	Adjective
amble	skeiða	Verb
ambulance	sjúkrabifreið	Noun
ambulance car	sjúkrabíll	Noun
ambush	fyrirsát	Noun
ambátt	gengilbeina	Noun
american-style pancake	skonsa	Noun
americium	ameríkín	Noun
amethyst	ametýst	Noun
amino acid	amínósýra	Noun
