afbaka	gm_ind_past_1pl	afbökuðum
afbaka	gm_ind_past_1sg	afbakaði
afbaka	gm_ind_past_2pl	afbökuðuð
afbaka	gm_ind_past_2sg	afbakaðir
afbaka	gm_ind_past_3pl	afbökuðu
afbaka	gm_ind_past_3sg	afbakaði
afbaka	gm_ind_pres_1pl	afbökum
afbaka	gm_ind_pres_1sg	afbaka
afbaka	gm_ind_pres_2pl	afbakið
afbaka	gm_ind_pres_2sg	afbakar
afbaka	gm_ind_pres_3pl	afbaka
afbaka	gm_ind_pres_3sg	afbakar
afbaka	gm_subj_past_1pl	afbökuðum
afbaka	gm_subj_past_1sg	afbakaði
afbaka	gm_subj_past_2pl	afbökuðuð
afbaka	gm_subj_past_2sg	afbakaðir
afbaka	gm_subj_past_3pl	afbökuðu
afbaka	gm_subj_past_3sg	afbakaði
afbaka	gm_subj_pres_1pl	afbökum
afbaka	gm_subj_pres_1sg	afbaki
afbaka	gm_subj_pres_2pl	afbakið
afbaka	gm_subj_pres_2sg	afbakir
afbaka	gm_subj_pres_3pl	afbaki
afbaka	gm_subj_pres_3sg	afbaki
afbaka	gm_supine	afbakað
afbaka	mm_ind_past_1pl	afbökuðumst
afbaka	mm_ind_past_1sg	afbakaðist
afbaka	mm_ind_past_2pl	afbökuðust
afbaka	mm_ind_past_2sg	afbakaðist
afbaka	mm_ind_past_3pl	afbökuðust
afbaka	mm_ind_past_3sg	afbakaðist
afbaka	mm_ind_pres_1pl	afbökumst
afbaka	mm_ind_pres_1sg	afbakast
afbaka	mm_ind_pres_2pl	afbakist
afbaka	mm_ind_pres_2sg	afbakast
afbaka	mm_ind_pres_3pl	afbakast
afbaka	mm_ind_pres_3sg	afbakast
afbaka	mm_inf	afbakast
afbaka	mm_subj_past_1pl	afbökuðumst
afbaka	mm_subj_past_1sg	afbakaðist
afbaka	mm_subj_past_2pl	afbökuðust
afbaka	mm_subj_past_2sg	afbakaðist
afbaka	mm_subj_past_3pl	afbökuðust
afbaka	mm_subj_past_3sg	afbakaðist
afbaka	mm_subj_pres_1pl	afbökumst
afbaka	mm_subj_pres_1sg	afbakist
afbaka	mm_subj_pres_2pl	afbakist
afbaka	mm_subj_pres_2sg	afbakist
afbaka	mm_subj_pres_3pl	afbakist
afbaka	mm_subj_pres_3sg	afbakist
afbaka	mm_supine	afbakast
afbaka	ptcp_hk_pl	afbökuð
afbaka	ptcp_hk_sg	afbakað
afbaka	ptcp_kvk_pl	afbakaðar
afbaka	ptcp_kvk_sg	afbökuð
afbaka	ptcp_nom_pl	afbakaðir
afbaka	ptcp_nom_sg	afbakaður
afferma	gm_ind_past_1pl	affermdum
afferma	gm_ind_past_1sg	affermdi
afferma	gm_ind_past_2pl	affermduð
afferma	gm_ind_past_2sg	affermdir
afferma	gm_ind_past_3pl	affermdu
afferma	gm_ind_past_3sg	affermdi
afferma	gm_ind_pres_1pl	affermum
afferma	gm_ind_pres_1sg	affermi
afferma	gm_ind_pres_2pl	affermið
afferma	gm_ind_pres_2sg	affermir
afferma	gm_ind_pres_3pl	afferma
afferma	gm_ind_pres_3sg	affermir
afferma	gm_subj_past_1pl	affermdum
afferma	gm_subj_past_1sg	affermdi
afferma	gm_subj_past_2pl	affermduð
afferma	gm_subj_past_2sg	affermdir
afferma	gm_subj_past_3pl	affermdu
afferma	gm_subj_past_3sg	affermdi
afferma	gm_subj_pres_1pl	affermum
afferma	gm_subj_pres_1sg	affermi
afferma	gm_subj_pres_2pl	affermið
afferma	gm_subj_pres_2sg	affermir
afferma	gm_subj_pres_3pl	affermi
afferma	gm_subj_pres_3sg	affermi
afferma	gm_supine	affermt
afferma	mm_ind_past_1pl	affermdumst
afferma	mm_ind_past_1sg	affermdist
afferma	mm_ind_past_2pl	affermdust
afferma	mm_ind_past_2sg	affermdist
afferma	mm_ind_past_3pl	affermdust
afferma	mm_ind_past_3sg	affermdist
afferma	mm_ind_pres_1pl	affermumst
afferma	mm_ind_pres_1sg	affermist
afferma	mm_ind_pres_2pl	affermist
afferma	mm_ind_pres_2sg	affermist
afferma	mm_ind_pres_3pl	affermast
afferma	mm_ind_pres_3sg	affermist
afferma	mm_inf	affermast
afferma	mm_subj_past_1pl	affermdumst
afferma	mm_subj_past_1sg	affermdist
afferma	mm_subj_past_2pl	affermdust
afferma	mm_subj_past_2sg	affermdist
afferma	mm_subj_past_3pl	affermdust
afferma	mm_subj_past_3sg	affermdist
afferma	mm_subj_pres_1pl	affermumst
afferma	mm_subj_pres_1sg	affermist
afferma	mm_subj_pres_2pl	affermist
afferma	mm_subj_pres_2sg	affermist
afferma	mm_subj_pres_3pl	affermist
afferma	mm_subj_pres_3sg	affermist
afferma	mm_supine	affermst
afferma	ptcp_hk_pl	affermd
afferma	ptcp_hk_sg	affermt
afferma	ptcp_kvk_pl	affermdar
afferma	ptcp_kvk_sg	affermd
afferma	ptcp_nom_pl	affermdir
afferma	ptcp_nom_sg	affermdur
afgreiða	gm_ind_past_1pl	afgreiddum
afgreiða	gm_ind_past_1sg	afgreiddi
afgreiða	gm_ind_past_2pl	afgreidduð
afgreiða	gm_ind_past_2sg	afgreiddir
afgreiða	gm_ind_past_3pl	afgreiddu
afgreiða	gm_ind_past_3sg	afgreiddi
afgreiða	gm_ind_pres_1pl	afgreiðum
afgreiða	gm_ind_pres_1sg	afgreiði
afgreiða	gm_ind_pres_2pl	afgreiðið
afgreiða	gm_ind_pres_2sg	afgreiðir
afgreiða	gm_ind_pres_3pl	afgreiða
afgreiða	gm_ind_pres_3sg	afgreiðir
afgreiða	gm_subj_past_1pl	afgreiddum
afgreiða	gm_subj_past_1sg	afgreiddi
afgreiða	gm_subj_past_2pl	afgreidduð
afgreiða	gm_subj_past_2sg	afgreiddir
afgreiða	gm_subj_past_3pl	afgreiddu
afgreiða	gm_subj_past_3sg	afgreiddi
